WarName,Side,StartYear,EndYear,StateName,BatDeath
Arab-Israeli,1,1948,1949,['Israel'],3000.0
Arab-Israeli,2,1948,1949,"['Egypt', 'Syria', 'Lebanon', 'Jordan', 'Iraq']",5000.0
Assam,1,1962,1962,['China (PRC)'],500.0
Assam,2,1962,1962,['India'],1353.0
Azeri-Armenian,1,1993,1994,['Armenia'],5500.0
Azeri-Armenian,2,1993,1994,['Azerbaijan'],8500.0
Badme Border,1,1998,2000,['Eritrea'],50000.0
Badme Border,2,1998,2000,['Ethiopia'],70000.0
Bangladesh,1,1971,1971,['India'],3241.0
Bangladesh,2,1971,1971,['Pakistan'],7982.0
Bosnian Independence,1,1992,1992,"['Croatia', 'Bosnia']",3350.0
Bosnian Independence,2,1992,1992,['Yugoslavia'],1890.0
Cenepa Valley,1,1995,1995,['Peru'],950.0
Cenepa Valley,2,1995,1995,['Ecuador'],550.0
Chaco,1,1932,1935,['Paraguay'],36000.0
Chaco,2,1932,1935,['Bolivia'],56661.0
Changkufeng,1,1938,1938,['Japan'],526.0
Changkufeng,2,1938,1938,['USSR'],1200.0
Cold War,1,1947,1991,['United States America'],0.0
Cold War,2,1947,1991,['Soviet Union'],0.0
Communist Coalition,1,1970,1971,['Vietnam'],400.0
Communist Coalition,2,1970,1971,"['United States of America', 'Cambodia', 'South Vietnam']",6125.0
Conquest of Ethiopia,1,1935,1936,['Italy'],4000.0
Conquest of Ethiopia,2,1935,1936,['Ethiopia'],16000.0
Falkland Islands,1,1982,1982,['United Kingdom'],255.0
Falkland Islands,2,1982,1982,['Argentina'],746.0
First Kashmir,1,1947,1949,['India'],2500.0
First Kashmir,2,1947,1949,['Pakistan'],1000.0
First Libyan Civil War,1,2011,2011,"['NATO', 'Qatar', 'Sweden', 'United Arab Emirates']",0.0
First Libyan Civil War,2,2011,2011,['Libya'],3000.0
Football War,1,1969,1969,['El Salvador'],700.0
Football War,2,1969,1969,['Honduras'],1200.0
Franco-Thai,1,1940,1941,['Thailand'],700.0
Franco-Thai,2,1940,1941,['France'],700.0
Gaza-Israel conflict,1,2006,2024,['Israel'],1700.0
Gaza-Israel conflict,2,2006,2024,['Palestine'],44500.0
Gulf War,1,1990,1991,"['Kuwait', 'United States of America', 'Canada', 'United Kingdom', 'Italy', 'Morocco', 'Egypt', 'Oman', 'France', 'United Arab Emirates', 'Qatar', 'Saudi Arabia', 'Syria']",1466.0
Gulf War,2,1990,1991,['Iraq'],40000.0
Heglig Crisis,1,2012,2012,['Sudan'],1200.0
Heglig Crisis,2,2012,2012,['South Sudan'],280.0
IfniWar,1,1957,1958,"['France', 'Spain']",122.0
IfniWar,2,1957,1958,['Morocco'],1000.0
Invasion of Afghanistan,1,2001,2001,"['Canada', 'France', 'United Kingdom', 'United States of America', 'Australia']",2.0
Invasion of Afghanistan,2,2001,2001,['Afghanistan'],4000.0
Invasion of Iraq,1,2003,2003,"['Australia', 'United Kingdom', 'United States of America']",173.0
Invasion of Iraq,2,2003,2003,['Iraq'],7000.0
Iran-Iraq,1,1980,1988,['Iran'],750000.0
Iran-Iraq,2,1980,1988,['Iraq'],500000.0
Kargil War,1,1999,1999,['India'],474.0
Kargil War,2,1999,1999,['Pakistan'],698.0
Korean,1,1950,1953,"['Belgium', 'Canada', 'Colombia', 'United Kingdom', 'Netherlands', 'Greece', 'France', 'Turkey', 'Philippines', 'Thailand', 'Ethiopia', 'Australia', 'South Korea', 'United States of America']",170893.0
Korean,2,1950,1953,"['China', 'North Korea']",739191.0
Nomonhan,1,1939,1939,"['USSR', 'Mongolia']",8000.0
Nomonhan,2,1939,1939,['Japan'],20000.0
Off-shore Islands,1,1954,1955,['China'],1003.0
Off-shore Islands,2,1954,1955,['Taiwan'],1367.0
Russo-Finnish,1,1939,1940,['USSR'],126875.0
Russo-Finnish,2,1939,1940,['Finland'],24923.0
Russo-Georgian War,1,2008,2008,"['Russia', 'South Ossetia', 'Abkhazia']",505.0
Russo-Georgian War,2,2008,2008,['Georgia'],0.0
Saudi-Yemeni,1,1934,1934,['Saudi Arabia'],100.0
Saudi-Yemeni,2,1934,1934,['Yemen Arab Republic'],2000.0
Second Kashmir,1,1965,1965,['Pakistan'],3800.0
Second Kashmir,2,1965,1965,['India'],3261.0
"Second Laotian, Phase 2",1,1968,1973,['Vietnam'],2250.0
"Second Laotian, Phase 2",2,1968,1973,"['United States of America', 'Thailand', 'Laos']",11616.0
"Second Ogaden War, Phase 2",1,1977,1978,"['Ethiopia', 'Cuba']",2500.0
"Second Ogaden War, Phase 2",2,1977,1978,['Somalia'],8000.0
Second Sino-Japanese,1,1931,1933,['Japan'],10000.0
Second Sino-Japanese,2,1931,1933,['China'],50000.0
Sinai War,1,1956,1956,"['France', 'Israel', 'United Kingdom']",221.0
Sinai War,2,1956,1956,['Egypt'],3000.0
Sino-Vietnamese Border War,1,1987,1987,['China'],1800.0
Sino-Vietnamese Border War,2,1987,1987,['Vietnam'],2200.0
Sino-Vietnamese Punitive,1,1979,1979,['China'],13000.0
Sino-Vietnamese Punitive,2,1979,1979,['Vietnam'],8000.0
Six Day War,1,1967,1967,['Israel'],1000.0
Six Day War,2,1967,1967,"['Egypt', 'Jordan', 'Syria']",18600.0
Soviet Invasion of Hungary,1,1956,1956,['USSR'],1500.0
Soviet Invasion of Hungary,2,1956,1956,['Hungary'],926.0
Taiwan Straits,1,1958,1958,['China (PRC)'],300.0
Taiwan Straits,2,1958,1958,['Taiwan (ROC)'],1500.0
Third Sino-Japanese,1,1937,1941,['Japan'],250000.0
Third Sino-Japanese,2,1937,1941,['China'],750000.0
Turco-Cypriot,1,1974,1974,['Turkey'],1000.0
Turco-Cypriot,2,1974,1974,['Cyprus'],500.0
Ugandian-Tanzanian,1,1978,1979,['Tanzania'],1000.0
Ugandian-Tanzanian,2,1978,1979,"['Uganda', 'Libya']",2000.0
"Vietnam War, Phase 2",1,1965,1975,['Vietnam'],700000.0
"Vietnam War, Phase 2",2,1965,1975,"['United States of America', 'Cambodia', 'South Korea', 'Philippines', 'South Vietnam', 'Thailand', 'Australia']",321442.0
Vietnamese-Cambodian,1,1977,1979,['Vietnam'],3000.0
Vietnamese-Cambodian,2,1977,1979,['Cambodia'],5000.0
War for Kosovo,1,1999,1999,"['Turkey', 'Italy', 'United Kingdom', 'United States of America', 'Netherlands', 'France', 'Germany']",2.0
War for Kosovo,2,1999,1999,['Yugoslavia'],5000.0
War of Attrition,1,1969,1970,['Israel'],368.0
War of Attrition,2,1969,1970,['Egypt'],5000.0
War over Angola,1,1975,1976,"['Cuba', 'Angola']",2500.0
War over Angola,2,1975,1976,"['South Africa', 'Democratic Republic of the Congo']",200.0
War over Lebanon,1,1982,1982,['Israel'],455.0
War over Lebanon,2,1982,1982,['Syria'],1200.0
War over the Aouzou Strip,1,1986,1987,['Chad'],1000.0
War over the Aouzou Strip,2,1986,1987,['Libya'],7000.0
World War II,1,1939,1945,"['Belgium', 'Yugoslavia', 'Norway', 'Canada', 'United States of America', 'United Kingdom', 'Netherlands', 'Romania', 'Bulgaria', 'Greece', 'Brazil', 'Italy', 'Australia', 'New Zealand', 'USSR', 'Poland', 'France', 'Mongolia', 'China', 'South Africa', 'Ethiopia']",10717907.0
World War II,2,1939,1945,"['Hungary', 'France', 'Finland', 'Italy', 'Romania', 'Bulgaria', 'Germany', 'Japan']",5917000.0
Yom Kippur War,1,1973,1973,['Israel'],2838.0
Yom Kippur War,2,1973,1973,"['Egypt', 'Saudi Arabia', 'Jordan', 'Syria', 'Iraq']",11601.0
